scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.03948185361665,2.74511432647705,-1.26252461968472,-1.58323861844595,2.03948185361665,-0.0592949222103206,0.013360866217548,0.0607815806475217,-0.0862211037950511,-0.13179520983418,0.161386405683592,0.0104092821956575,0.116558732863752,0.119459482168841,15.4643904317034,0.795852503627179,0.999763085777034,0.178623572810895,0.240244517085142,0.116113777687673,0.33408879102948,0.157871109754558,0.035499565485076,,,,,2.0716688985117,-127.374480982322,2.31472368639318,AttemptLanding,AttemptLanding,1,0.567753724064875,0.169910596178969,0.185020228279738,0.896579805392091,0.348393876583256
2,2.24458460967869,3.0,-1.30639365935624,-1.78499624353837,2.24458460967869,0.0040479665894747,0.0093725679872477,0.0102093615953733,-0.101867505408019,-0.182721012160919,0.219125438044275,0.0141346066830316,0.229730897636517,0.230713857842493,15.4382213076822,0.858795718687801,1.07692755339701,0.0448768518229553,0.146920614900735,0.288732326181968,0.635078196131498,0.0172216491888892,0.0193967610993161,,,,,2.42882567996652,-126.095851442396,1.92963867692304,AttemptLanding,AttemptLanding,1,0.644698667482817,0.171840179114779,0.117811541447519,0.962352319807856,0.271674521696903
3,1.5925629031119,2.56168007850647,-0.992178522609868,-1.23001718655911,1.5925629031119,-0.04839948450154,-0.0235744190385677,0.0538355211084725,-0.0607445823003845,-0.0918775345758544,0.113120314983024,0.0072954126783331,0.144510506428701,0.14533606834287,15.4576308391231,0.531494997238257,0.796757482153182,0.162578114292812,0.245170000847787,0.250897930985038,0.480314363834786,0.173279077063795,0.0051110903600271,,,,,1.87319628751653,-127.297520073929,2.07558770789554,AttemptLanding,AttemptLanding,1,0.453750654498415,0.227921210000331,0.2156242274524,0.908274673372661,0.288489808451094
4,2.24166188069752,3.0,-0.63061109124586,-2.12098389912416,2.24166188069752,0.0099021934158658,0.015861765138871,0.0186989044536283,-0.0305551547766115,-0.254885839955951,0.258356019327367,0.0166664760230893,0.216412215691449,0.217234329946009,15.4082726249092,1.07178673760991,0.851220896397264,0.0569382127268437,0.242548653317312,0.288931381113466,0.655756436548177,0.0038213388084379,0.0049655741007004,,,,,2.46779887999601,-105.553838771394,1.77771395416276,HoldLanding,HoldLanding,0,0.641223367508541,0.174054209326223,0.107936561708829,0.956421547940808,0.27158605283846
5,1.82146612830358,2.83332538604736,-1.06533717957032,-1.44703791613695,1.82146612830358,-0.0755399838077382,0.0056414843965879,0.0757503498333196,-0.0664546915435219,-0.115353846574405,0.138821235016272,0.0089550416723077,0.177267983154916,0.17962393713575,15.4495256148957,0.835131906298971,1.07350557089951,0.178526590095321,0.24026275747847,0.151606246185947,0.413793826874456,0.159551892005394,0.0359466361109265,,,,,1.88084050141636,-125.058018224367,1.5,AttemptLanding,AttemptLanding,1,0.521649088308105,0.24155589712846,0.22891699431981,0.895740267631494,0.332619446139579
6,1.86904367475605,2.70103812217712,-1.02983889612696,-1.53829562996499,1.86904367475605,0.0049518706562639,0.0028755267903791,0.0057262271452114,-0.0592760150355611,-0.126178687095695,0.142981720092208,0.0092321243604591,0.156664325131016,0.157733411107151,15.4154015566857,2.04441885750329,1.97573785897688,0.027247605147964,0.0569878260347608,0.134296829309605,0.507825599896216,0.0095729075164926,0.0076919741735515,,,,,1.9161886291726,-122.783489357006,1.93360649449493,AttemptLanding,AttemptLanding,1,0.529958328823044,0.188248558979696,0.120000842468359,0.954789251796531,0.340312520306842
7,1.92415338190826,2.66684484481812,-1.07622668241934,-1.57899194052044,1.92415338190826,-0.0462356039068458,0.0059651584006184,0.0466188179105306,-0.063773606248962,-0.132169257939355,0.149623255695927,0.0096581690364378,0.136202626560438,0.138666933203577,15.3266911683566,1.29343294308722,1.37586046565595,0.177456897571323,0.241282999285117,0.155137754865921,0.473284336429468,0.158472096313075,0.0368852430576465,,,,,1.96867067391655,-123.586570068552,2.3420232174459,AttemptLanding,AttemptLanding,1,0.540840955149585,0.175652362438314,0.189236275926126,0.890298531574214,0.331049886726257
8,1.89222921551885,2.6292130947113,-1.09617572871448,-1.51929665893537,1.89222921551885,-0.0505751945474651,0.0198926832699128,0.0543467492237669,-0.0673949147460034,-0.124521350869602,0.145922032028663,0.0094133656196921,0.15991296262682,0.162196184198567,15.3546679452031,1.00171741096251,1.06284636253382,0.177254946159536,0.243317910939792,0.158554790022117,0.495960595958346,0.155939382584216,0.0408763343679317,,,,,1.96461919299708,-125.030810267647,1.82002783198275,AttemptLanding,AttemptLanding,1,0.537033694311406,0.175784943509326,0.189641479953586,0.895150954414189,0.329531204434615
9,2.61601522784905,3.0,-0.818479556082495,-2.45134762431959,2.61601522784905,0.0085490612674826,0.0039422268904928,0.0094142233567775,-0.0437616210164082,-0.313107077428698,0.318391150421685,0.0205609708441484,0.19708709814369,0.199487166741254,15.421424611565,1.90870774009069,1.95866996042767,0.0299959500244157,0.0502109167280384,0.134362933821324,0.459456921285293,0.0226010031942617,0.006084492651738,,,,,2.98365709536118,-106.900241715489,1.58819038663995,AttemptLanding,AttemptLanding,1,0.737501494107998,0.0881225146827059,0.0651309419006345,0.954615485912291,0.340283140523856
10,1.87792932665026,2.59241437911987,-1.11451747799512,-1.49332627709608,1.87792932665026,-0.0590052067884007,0.0014539725347065,0.0590231180494017,-0.0679170043923456,-0.118270461200102,0.139815312830174,0.0090166922259865,0.126896980882377,0.129198123891078,15.4630362137542,0.846969907954293,0.75910014875322,0.176618501911583,0.240250608677359,0.129659776520592,0.403561471780002,0.159829320628413,0.0353319878804792,,,,,1.92399487038037,-126.353098118705,1.94428418211336,AttemptLanding,AttemptLanding,1,0.526620778551618,0.171580041781387,0.186831274274362,0.899071627170078,0.342373432657515
